"","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"1","G01000100201001","010010201001","61","3"
"2","G01000100201002","010010201002","47","2"
"3","G01000100202001","010010202001","73","5"
"4","G01000100202002","010010202002","78","6"
"5","G01000100203001","010010203001","67","4"
"6","G01000100203002","010010203002","77","6"
"7","G01000100204001","010010204001","46","2"
"8","G01000100204002","010010204002","62","4"
"9","G01000100204003","010010204003","67","4"
"10","G01000100204004","010010204004","60","3"
"11","G01000100205001","010010205001","48","2"
"12","G01000100205002","010010205002","42","2"
"13","G01000100205003","010010205003","49","2"
"14","G01000100206001","010010206001","49","2"
"15","G01000100206002","010010206002","71","5"
"16","G01000100207001","010010207001","99","10"
"17","G01000100207002","010010207002","65","4"
"18","G01000100208011","010010208011","32","1"
"19","G01000100208012","010010208012","21","1"
"20","G01000100208021","010010208021","68","4"
"21","G01000100208022","010010208022","40","2"
"22","G01000100208023","010010208023","60","3"
"23","G01000100208024","010010208024","53","3"
"24","G01000100209001","010010209001","89","8"
"25","G01000100209002","010010209002","57","3"
"26","G01000100209003","010010209003","91","8"
"27","G01000100209004","010010209004","47","2"
"28","G01000100210001","010010210001","73","5"
"29","G01000100210002","010010210002","62","4"
"30","G01000100211001","010010211001","92","8"
"31","G01000100211002","010010211002","99","10"
"32","G01000100211003","010010211003","89","8"
"33","G01000300101001","010030101001","99","10"
"34","G01000300101002","010030101002","67","4"
"35","G01000300101003","010030101003","86","7"
"36","G01000300102001","010030102001","77","6"
"37","G01000300102002","010030102002","68","4"
"38","G01000300103001","010030103001","70","5"
"39","G01000300103002","010030103002","27","1"
"40","G01000300103003","010030103003","58","3"
"41","G01000300104001","010030104001","57","3"
"42","G01000300104002","010030104002","70","5"
"43","G01000300104003","010030104003","64","4"
"44","G01000300105001","010030105001","72","5"
"45","G01000300105002","010030105002","83","7"
"46","G01000300105003","010030105003","54","3"
"47","G01000300105004","010030105004","61","3"
"48","G01000300106001","010030106001","88","8"
"49","G01000300106002","010030106002","92","8"
"50","G01000300106003","010030106003","81","6"
"51","G01000300107011","010030107011","23","1"
"52","G01000300107012","010030107012","20","1"
"53","G01000300107013","010030107013","29","1"
"54","G01000300107014","010030107014","45","2"
"55","G01000300107031","010030107031","23","1"
"56","G01000300107032","010030107032","39","2"
"57","G01000300107041","010030107041","48","2"
"58","G01000300107042","010030107042","49","2"
"59","G01000300107051","010030107051","58","3"
"60","G01000300107052","010030107052","56","3"
"61","G01000300107053","010030107053","56","3"
"62","G01000300108001","010030108001","57","3"
"63","G01000300108002","010030108002","19","1"
"64","G01000300108003","010030108003","74","5"
"65","G01000300109031","010030109031","72","5"
"66","G01000300109032","010030109032","57","3"
"67","G01000300109033","010030109033","54","3"
"68","G01000300109041","010030109041","60","3"
"69","G01000300109042","010030109042","72","5"
"70","G01000300109043","010030109043","61","3"
"71","G01000300109051","010030109051","58","3"
"72","G01000300109052","010030109052","60","3"
"73","G01000300109053","010030109053","46","2"
"74","G01000300109061","010030109061","69","4"
"75","G01000300109062","010030109062","56","3"
"76","G01000300109063","010030109063","63","4"
"77","G01000300110001","010030110001","73","5"
"78","G01000300110002","010030110002","75","5"
"79","G01000300111011","010030111011","36","1"
"80","G01000300111012","010030111012","41","2"
"81","G01000300111013","010030111013","37","1"
"82","G01000300111021","010030111021","38","2"
"83","G01000300111022","010030111022","48","2"
"84","G01000300112011","010030112011","27","1"
