"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G01000100201001","010010201001","76","5"
"G01000100201002","010010201002","74","5"
"G01000100202001","010010202001","82","6"
"G01000100202002","010010202002","82","6"
"G01000100203001","010010203001","71","4"
"G01000100203002","010010203002","88","7"
"G01000100204001","010010204001","65","4"
"G01000100204002","010010204002","63","3"
"G01000100204003","010010204003","77","5"
"G01000100204004","010010204004","73","5"
"G01000100205011","010010205011","66","4"
"G01000100205012","010010205012","59","3"
"G01000100205021","010010205021","66","4"
"G01000100205022","010010205022","58","3"
"G01000100205031","010010205031","48","2"
"G01000100205032","010010205032","52","2"
"G01000100205033","010010205033","43","2"
"G01000100206001","010010206001","100","10"
"G01000100206002","010010206002","77","5"
"G01000100206003","010010206003","38","1"
"G01000100207001","010010207001","75","5"
"G01000100207002","010010207002","100","10"
"G01000100207003","010010207003","75","5"
"G01000100208011","010010208011","47","2"
"G01000100208012","010010208012","24","1"
"G01000100208013","010010208013","36","1"
"G01000100208031","010010208031","73","5"
"G01000100208032","010010208032","73","5"
"G01000100208033","010010208033","73","5"
"G01000100208034","010010208034","73","5"
"G01000100208041","010010208041","46","2"
"G01000100208042","010010208042","39","1"
"G01000100208051","010010208051","47","2"
"G01000100208052","010010208052","55","3"
"G01000100209011","010010209011","60","3"
"G01000100209012","010010209012","60","3"
"G01000100209021","010010209021","72","4"
"G01000100209022","010010209022","60","3"
"G01000100210001","010010210001","87","7"
"G01000100210002","010010210002","87","7"
"G01000100210003","010010210003","87","7"
"G01000100211001","010010211001","94","9"
"G01000100211002","010010211002","94","9"
"G01000100211003","010010211003","94","9"
"G01000100211004","010010211004","94","9"
"G01000300101001","010030101001","79","6"
"G01000300101002","010030101002","75","5"
"G01000300101003","010030101003","82","6"
"G01000300102001","010030102001","80","6"
"G01000300102002","010030102002","68","4"
"G01000300103001","010030103001","61","3"
"G01000300103002","010030103002","46","2"
"G01000300103003","010030103003","60","3"
"G01000300103004","010030103004","65","4"
"G01000300103005","010030103005","73","5"
"G01000300104001","010030104001","45","2"
"G01000300104002","010030104002","78","5"
"G01000300104003","010030104003","75","5"
"G01000300105001","010030105001","GQ","GQ"
"G01000300105002","010030105002","76","5"
"G01000300105003","010030105003","56","3"
"G01000300105004","010030105004","85","7"
"G01000300106001","010030106001","97","9"
"G01000300106002","010030106002","96","9"
"G01000300106003","010030106003","93","8"
"G01000300107041","010030107041","56","3"
"G01000300107042","010030107042","60","3"
"G01000300107061","010030107061","40","1"
"G01000300107062","010030107062","26","1"
"G01000300107071","010030107071","48","2"
"G01000300107072","010030107072","42","2"
"G01000300107073","010030107073","37","1"
"G01000300107081","010030107081","42","2"
"G01000300107082","010030107082","42","2"
"G01000300107083","010030107083","67","4"
"G01000300107084","010030107084","32","1"
"G01000300107091","010030107091","27","1"
"G01000300107092","010030107092","31","1"
"G01000300107093","010030107093","29","1"
"G01000300107101","010030107101","48","2"
"G01000300107102","010030107102","35","1"
"G01000300107103","010030107103","67","4"
"G01000300107111","010030107111","62","3"
"G01000300107112","010030107112","61","3"
"G01000300108001","010030108001","27","1"
"G01000300108002","010030108002","24","1"
"G01000300108003","010030108003","26","1"
"G01000300109031","010030109031","68","4"
"G01000300109032","010030109032","54","2"
"G01000300109033","010030109033","59","3"
"G01000300109041","010030109041","57","3"
"G01000300109042","010030109042","66","4"
"G01000300109043","010030109043","60","3"
"G01000300109061","010030109061","80","6"
"G01000300109062","010030109062","83","6"
"G01000300109063","010030109063","61","3"
"G01000300109071","010030109071","54","2"
"G01000300109072","010030109072","42","2"
"G01000300109081","010030109081","53","2"
"G01000300109082","010030109082","61","3"
"G01000300110001","010030110001","55","3"
"G01000300110002","010030110002","76","5"
"G01000300111021","010030111021","33","1"
"G01000300111022","010030111022","31","1"
"G01000300111031","010030111031","46","2"
"G01000300111041","010030111041","56","3"
"G01000300111042","010030111042","38","1"
"G01000300111043","010030111043","41","1"
"G01000300112011","010030112011","29","1"
"G01000300112012","010030112012","28","1"
"G01000300112021","010030112021","27","1"
"G01000300112022","010030112022","16","1"
"G01000300112023","010030112023","18","1"
"G01000300112024","010030112024","18","1"
"G01000300113001","010030113001","6","1"
"G01000300113002","010030113002","54","2"
"G01000300113003","010030113003","49","2"
"G01000300113004","010030113004","16","1"
"G01000300114091","010030114091","41","1"
"G01000300114092","010030114092","54","2"
"G01000300114093","010030114093","48","2"
"G01000300114101","010030114101","70","4"
"G01000300114102","010030114102","46","2"
"G01000300114103","010030114103","50","2"
"G01000300114104","010030114104","45","2"
"G01000300114111","010030114111","61","3"
"G01000300114112","010030114112","57","3"
"G01000300114121","010030114121","47","2"
"G01000300114122","010030114122","48","2"
"G01000300114131","010030114131","48","2"
"G01000300114132","010030114132","39","1"
"G01000300114133","010030114133","20","1"
"G01000300114141","010030114141","13","1"
"G01000300114142","010030114142","35","1"
"G01000300114151","010030114151","9","1"
"G01000300114161","010030114161","39","1"
"G01000300114171","010030114171","51","2"
"G01000300114172","010030114172","25","1"
"G01000300114181","010030114181","63","3"
"G01000300114182","010030114182","36","1"
"G01000300114191","010030114191","40","1"
"G01000300114192","010030114192","41","2"
"G01000300114193","010030114193","40","1"
"G01000300114194","010030114194","39","1"
"G01000300115011","010030115011","56","3"
"G01000300115012","010030115012","60","3"
"G01000300115013","010030115013","61","3"
"G01000300115031","010030115031","59","3"
"G01000300115032","010030115032","65","4"
"G01000300115033","010030115033","58","3"
"G01000300115034","010030115034","59","3"
"G01000300115041","010030115041","53","2"
"G01000300115042","010030115042","58","3"
"G01000300115043","010030115043","48","2"
"G01000300116011","010030116011","61","3"
