"","GEOID","County","State","FDep","SDI","ReADI","SVI","NA_ADI","NSS7"
"1","01001","Autauga County"," Alabama",24,27,27,27,65,22
"2","01003","Baldwin County"," Alabama",20,18,20,35,50,15
"3","01005","Barbour County"," Alabama",93,98,94,99,89,94
"4","01007","Bibb County"," Alabama",94,84,86,85,82,88
"5","01009","Blount County"," Alabama",78,57,65,62,75,62
"6","01011","Bullock County"," Alabama",98,96,98,90,95,96
"7","01013","Butler County"," Alabama",80,76,85,69,90,74
"8","01015","Calhoun County"," Alabama",75,78,71,81,78,79
"9","01017","Chambers County"," Alabama",81,83,83,83,85,74
"10","01019","Cherokee County"," Alabama",77,45,78,41,78,49
"11","01021","Chilton County"," Alabama",82,55,64,53,78,56
"12","01023","Choctaw County"," Alabama",86,72,90,65,90,76
"13","01025","Clarke County"," Alabama",93,91,84,84,83,93
"14","01027","Clay County"," Alabama",81,71,84,62,81,70
"15","01029","Cleburne County"," Alabama",75,52,80,52,82,56
"16","01031","Coffee County"," Alabama",61,68,55,68,73,59
"17","01033","Colbert County"," Alabama",57,64,66,45,76,56
"18","01035","Conecuh County"," Alabama",74,66,93,51,92,67
"19","01037","Coosa County"," Alabama",78,35,76,48,86,45
"20","01039","Covington County"," Alabama",74,77,81,71,83,74
"21","01041","Crenshaw County"," Alabama",87,60,87,69,87,76
"22","01043","Cullman County"," Alabama",65,45,60,49,72,46
"23","01045","Dale County"," Alabama",79,74,71,78,83,79
"24","01047","Dallas County"," Alabama",90,94,93,92,92,95
"25","01049","DeKalb County"," Alabama",90,80,86,76,84,74
"26","01051","Elmore County"," Alabama",22,25,25,44,62,34
"27","01053","Escambia County"," Alabama",93,83,93,85,87,86
"28","01055","Etowah County"," Alabama",72,63,71,67,79,67
"29","01057","Fayette County"," Alabama",93,84,88,75,86,87
"30","01059","Franklin County"," Alabama",89,77,90,76,83,81
"31","01061","Geneva County"," Alabama",73,78,81,58,85,67
"32","01063","Greene County"," Alabama",92,91,98,92,94,93
"33","01065","Hale County"," Alabama",88,89,92,88,88,91
"34","01067","Henry County"," Alabama",70,61,69,62,79,67
"35","01069","Houston County"," Alabama",53,76,60,72,73,69
"36","01071","Jackson County"," Alabama",85,75,81,72,85,74
"37","01073","Jefferson County"," Alabama",26,65,31,73,62,59
"38","01075","Lamar County"," Alabama",82,58,83,47,89,67
"39","01077","Lauderdale County"," Alabama",47,48,55,49,70,44
"40","01079","Lawrence County"," Alabama",72,56,75,36,80,52
"41","01081","Lee County"," Alabama",23,68,35,64,60,46
"42","01083","Limestone County"," Alabama",24,30,18,32,56,26
"43","01085","Lowndes County"," Alabama",93,94,97,90,93,94
"44","01087","Macon County"," Alabama",94,94,92,97,91,95
"45","01089","Madison County"," Alabama",8,27,12,35,54,28
"46","01091","Marengo County"," Alabama",64,83,84,67,86,79
"47","01093","Marion County"," Alabama",88,66,86,69,87,71
"48","01095","Marshall County"," Alabama",62,69,61,62,72,60
"49","01097","Mobile County"," Alabama",57,78,60,83,73,73
"50","01099","Monroe County"," Alabama",95,84,93,74,90,85
"51","01101","Montgomery County"," Alabama",51,87,55,93,73,86
"52","01103","Morgan County"," Alabama",57,56,48,68,71,51
"53","01105","Perry County"," Alabama",98,95,98,92,96,97
"54","01107","Pickens County"," Alabama",82,87,88,89,85,81
"55","01109","Pike County"," Alabama",64,87,79,80,81,79
"56","01111","Randolph County"," Alabama",75,81,78,56,76,77
"57","01113","Russell County"," Alabama",76,89,81,90,80,88
"58","01115","St. Clair County"," Alabama",34,28,25,26,60,30
"59","01117","Shelby County"," Alabama",4,3,6,12,45,5
"60","01119","Sumter County"," Alabama",87,91,96,93,93,93
"61","01121","Talladega County"," Alabama",86,85,78,91,80,86
"62","01123","Tallapoosa County"," Alabama",90,76,79,87,78,87
"63","01125","Tuscaloosa County"," Alabama",40,67,39,65,60,57
"64","01127","Walker County"," Alabama",78,63,77,64,81,68
"65","01129","Washington County"," Alabama",75,49,81,32,82,57
